algorithm,iteration,params,fitness
PSO,10,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7452185216265812}",0.14120150956189204
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7256821834450865}",0.12658542706147435
PSO,11,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6845853332271484}",0.14145472964056277
PSO,11,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.7078223615241666}",0.1106070130351193
PSO,11,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.6709083209874099}",0.09500298716357042
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7335751455119676}",0.15685784732540742
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7100731690197286}",0.16767784204124025
PSO,11,"{""num_samples"": 786, ""num_features"": 7, ""kernel_width"": 0.6485825443202504}",0.08677783612294661
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6875736656121619}",0.15225652411520582
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7494698913389197}",0.1993372626048674
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7173919059635986}",0.13938959184664068
PSO,11,"{""num_samples"": 800, ""num_features"": 3, ""kernel_width"": 0.6739007225338449}",0.14596285378209944
PSO,11,"{""num_samples"": 798, ""num_features"": 7, ""kernel_width"": 0.6656596250284155}",0.10608634527627042
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6833794223265137}",0.10231007591693994
PSO,11,"{""num_samples"": 800, ""num_features"": 5, ""kernel_width"": 0.7089294267374285}",0.1428251387038194
PSO,11,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7049141374287925}",0.15261128230936735
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.6994002377160691}",0.1484838102494737
PSO,12,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.7030011917808766}",0.19903407523318187
PSO,12,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.7171513267694937}",0.08892255223159762
PSO,12,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.6769537800093336}",0.11174615225473972
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7287572743161465}",0.1531274416878695
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.714645175589942}",0.09961332202699533
PSO,12,"{""num_samples"": 799, ""num_features"": 7, ""kernel_width"": 0.7015863236119265}",0.06470941354727301
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.75}",0.15149687638045733
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.7334488539805231}",0.17671487107019967
PSO,12,"{""num_samples"": 800, ""num_features"": 7, ""kernel_width"": 0.7320357017820399}",0.09548561975059072
PSO,12,"{""num_samples"": 800, ""num_features"": 4, ""kernel_width"": 0.6737849859828826}",0.11827082218555511
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.680036844246934}",0.11868554739967696
PSO,12,"{""num_samples"": 800, ""num_features"": 6, ""kernel_width"": 0.646148475228115}",0.13250477529982557
