algorithm,iteration,model_params,val_accuracy
Firefly,2,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.813
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.824
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.821
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.801
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.786
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.761
Firefly,3,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.769
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.795
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.802
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.77
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.782
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.826
Firefly,4,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.769
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.783
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.777
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.836
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.817
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.8
Firefly,5,"{""hidden_dim"": 128, ""dropout"": 0.35866177660665094, ""lr"": 0.003603572054742395}",0.81
